[2021-03-25 16:31:04 +0000] [1] [INFO] Starting gunicorn 20.0.4
[2021-03-25 16:31:04 +0000] [1] [INFO] Listening at: http://0.0.0.0:5000 (1)
[2021-03-25 16:31:04 +0000] [1] [INFO] Using worker: sync
[2021-03-25 16:31:04 +0000] [1] [INFO] Server is ready. Spawning workers
[2021-03-25 16:31:04 +0000] [8] [INFO] Booting worker with pid: 8
[2021-03-25 16:31:04 +0000] [9] [INFO] Booting worker with pid: 9
[2021-03-25 16:31:04 +0000] [10] [INFO] Booting worker with pid: 10
[2021-03-25 16:31:04 +0000] [11] [INFO] Booting worker with pid: 11
[2021-03-25 16:32:30 +0000] [16] [INFO] Booting worker with pid: 16
[2021-03-25 16:32:30 +0000] [17] [INFO] Booting worker with pid: 17
[2021-03-25 16:32:30 +0000] [18] [INFO] Booting worker with pid: 18
[2021-03-25 16:32:30 +0000] [19] [INFO] Booting worker with pid: 19
[2021-03-25 16:32:35 +0000] [24] [INFO] Booting worker with pid: 24
[2021-03-25 16:32:35 +0000] [25] [INFO] Booting worker with pid: 25
[2021-03-25 16:32:36 +0000] [28] [INFO] Booting worker with pid: 28
[2021-03-25 16:32:36 +0000] [29] [INFO] Booting worker with pid: 29
[2021-03-25 16:32:39 +0000] [32] [INFO] Booting worker with pid: 32
[2021-03-25 16:32:39 +0000] [33] [INFO] Booting worker with pid: 33
[2021-03-25 16:32:39 +0000] [34] [INFO] Booting worker with pid: 34
[2021-03-25 16:32:39 +0000] [35] [INFO] Booting worker with pid: 35
[2021-03-25 16:34:41 +0000] [40] [INFO] Booting worker with pid: 40
[2021-03-25 16:34:41 +0000] [41] [INFO] Booting worker with pid: 41
[2021-03-25 16:34:41 +0000] [42] [INFO] Booting worker with pid: 42
[2021-03-25 16:34:41 +0000] [43] [INFO] Booting worker with pid: 43
[2021-03-25 16:34:55 +0000] [48] [INFO] Booting worker with pid: 48
[2021-03-25 16:34:55 +0000] [49] [INFO] Booting worker with pid: 49
[2021-03-25 16:34:55 +0000] [50] [INFO] Booting worker with pid: 50
[2021-03-25 16:34:55 +0000] [51] [INFO] Booting worker with pid: 51
[2021-03-25 16:35:03 +0000] [1] [INFO] Handling signal: term
[2021-03-25 16:35:03 +0000] [1] [INFO] Shutting down: Master
